,business_supplier,contacts_url,gold_status,gold_years,main_products,supplier_url
5019,Yiwu Great Craft Factory,https://greatcraft.en.alibaba.com/contactinfo.html,Gold Supplier,5,"jewelry accessory, napkin ring, placemat, brooch, tieback",https://greatcraft.en.alibaba.com/company_profile.html#top-nav-bar
5020,"Dongguan City Changan Yi Nan Jewelry Co., Ltd.",https://masterjewelry.en.alibaba.com/contactinfo.html,Gold Supplier,8,"Bracelet, Necklace, ring, earring, pendant",https://masterjewelry.en.alibaba.com/company_profile.html#top-nav-bar
5021,"Baoying (Guangzhou) Jewelry Co., Ltd.",https://baoyingjewelry.en.alibaba.com/contactinfo.html,Gold Supplier,1,"Beads, Jewelry, Engraved Carving Stone, Healing Stone, Gemstone Loose Beads",https://baoyingjewelry.en.alibaba.com/company_profile.html#top-nav-bar
5022,"Hangzhou Co-Orange Import & Export Co., Ltd.",https://coorange.en.alibaba.com/contactinfo.html,Gold Supplier,1,"scarfs, headband, bridal accessorys, hair clips, 3d cards",https://coorange.en.alibaba.com/company_profile.html#top-nav-bar
5023,Yiwu Liury Jewelry Factory,https://liuryjewelry.en.alibaba.com/contactinfo.html,Gold Supplier,2,"Necklace, Earrings, Ring, Bracelet, Hair Jewelry",https://liuryjewelry.en.alibaba.com/company_profile.html#top-nav-bar
5024,BOMBAY ,https://bombaycrystals.trustpass.alibaba.com/contactinfo.html,Gold Supplier,2,"Agate Ball, 7 Chakra, Pendant, Stone Art",https://bombaycrystals.trustpass.alibaba.com/company_profile.html#top-nav-bar
5025,"Yiwu Chuxin Jewelry Co., Ltd.",https://earrings.en.alibaba.com/contactinfo.html,Gold Supplier,1,"Earring, Necklace, Bracelet, Brooch, Jewelry Sets",https://earrings.en.alibaba.com/company_profile.html#top-nav-bar
5026,Guangzhou Yabead ,https://shabanaexim.trustpass.alibaba.com/contactinfo.html,Gold Supplier,5,"Throws Blankets and Bed Throws, Turkish Fouta Beach Towels, Rugs and Carpets, Jute Storage Baskets and Bags, Kitchen Towel Napkins Placemats and Table Covers",https://shabanaexim.trustpass.alibaba.com/company_profile.html#top-nav-bar
5027," Co., Ltd.",https://rebaccas.en.alibaba.com/contactinfo.html,Gold Supplier,5,"Stainless Steel Jewelry, Imitation Fashion Jewelry, Leather Jewelry/Wallet, Promotion Jewelry/Gift",https://rebaccas.en.alibaba.com/company_profile.html#top-nav-bar
5028,"Guangzhou Bangmingwei Jewelry Co., Ltd.",https://bmwjewelry.en.alibaba.com/contactinfo.html,Gold Supplier,3,"Leather Bracelets, Beaded Bracelet, Handmade Macrame Bracelets, Agate pendants &amp; Necklace, Agate Rings",https://bmwjewelry.en.alibaba.com/company_profile.html#top-nav-bar
5029,Kiran ,https://kiranbeads.trustpass.alibaba.com/contactinfo.html,Gold Supplier,3,"Pave Diamond Jewelry, Rosary Beaded Chain, Micro Faceted Rondelle, Loose Gemstones, Connector Chains",https://kiranbeads.trustpass.alibaba.com/company_profile.html#top-nav-bar
5030,"Yiwu Xiaoya Import & Export Co., Ltd.",https://angelfxn.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Glass beads, Inflatable products, loose gemstone, metal beads, jewelry findings",https://angelfxn.en.alibaba.com/company_profile.html#top-nav-bar
5031,"Yiwu Huirui Jewelry Co., Ltd.",https://ywhuirui.en.alibaba.com/contactinfo.html,Gold Supplier,2,"natural stone necklaces, natural stone all beads, natural stone jewelry, natural stone agate beads, gemstone",https://ywhuirui.en.alibaba.com/company_profile.html#top-nav-bar
5032,Guangzhou Gao Deng Lei Ke Jewelry Store,https://gzgoldenlake.en.alibaba.com/contactinfo.html,Gold Supplier,8,"Freshwater Pearls, Crystal Quartz, Semi-precious Agate Stone, Carnelian, Coral Loose Beads",https://gzgoldenlake.en.alibaba.com/company_profile.html#top-nav-bar
5033,"Guangzhou Yasiqi Import & Export Co., Ltd.",https://yasiqijewel.en.alibaba.com/contactinfo.html,Gold Supplier,4,"Stone bead bracelet, Semi-precious stone loose bead, Necklaces, Pendants and Rings, wedding dress",https://yasiqijewel.en.alibaba.com/company_profile.html#top-nav-bar
5034,"Guangzhou Sunny Import And Export Co., Ltd.",https://sunnyjewelry.en.alibaba.com/contactinfo.html,Gold Supplier,6,"Jewelry beads and pearls, fashion jewelry, rough gemstone, enamel glass block, rough gold sand stone",https://sunnyjewelry.en.alibaba.com/company_profile.html#top-nav-bar
5035,"Huizhou Ruihong Jewelry Co., Ltd.",https://ruihongjewelry.en.alibaba.com/contactinfo.html,Gold Supplier,1,"synthetic turquoise, turquoise loose beads, turquoise cabochon, coral turquoise loose beads, synthetic malachite",https://ruihongjewelry.en.alibaba.com/company_profile.html#top-nav-bar
5036,"Dongguan Heng Xin Tai Industrial & Trading Co., Ltd.",https://evertrust1688.en.alibaba.com/contactinfo.html,Gold Supplier,1,"Chain &amp; Necklace, Earrings, Rings, Bracelets, Hair Accessories",https://evertrust1688.en.alibaba.com/company_profile.html#top-nav-bar
